route,route_name,stop_seq,stop,lat,lon,date,hour,is_peak,passengers,traffic,speed,delay,buses,wait_time,new_wait,load,new_load,overcrowded,new_overcrowded,seg_dist,cum_dist,travel_time,cum_travel_time,efficiency,total_buses_on_route,action,growth,rank,alert,alt_route
R1,Sitabuldi to Hingna MIDC,9,VNIT Main Gate,21.1260843,79.0497523,2025-04-01,12,0,43,Moderate,29.4,7,2,5,2.5,0.72,0.36,0,0,0.507,11.091,1.03,24.59,4.2,4,Normal,0.387,45.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,10,Bajaj Nagar,21.1275893,79.0615901,2025-04-01,12,0,45,Moderate,27.4,6,1,5,5.0,0.75,0.75,0,0,1.239,12.33,2.71,27.3,4.57,4,Normal,0.047,43.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,11,Laxmi Nagar,21.1254686,79.0639778,2025-04-01,12,0,40,Low,34.5,1,2,5,2.5,0.67,0.33,0,0,0.342,12.672,0.59,27.89,34.5,4,Normal,-0.111,48.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,12,Subhash Nagar,21.1233162,79.0420532,2025-04-01,12,0,37,Moderate,21.2,6,1,5,5.0,0.62,0.62,0,0,2.287,14.959,6.47,34.36,3.53,4,Normal,-0.075,51.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,13,Wadi T-Point,21.1491394,78.9777061,2025-04-01,12,0,30,Moderate,28.8,7,3,5,1.7,0.5,0.17,0,0,7.265,22.224,15.14,49.5,4.11,4,Normal,-0.189,58.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,14,Hingna T-Point,21.1230151,79.0378219,2025-04-01,12,0,34,Moderate,28.6,6,2,5,2.5,0.57,0.28,0,0,6.878,29.102,14.43,63.93,4.77,4,Normal,0.133,54.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,15,Hingna Village,21.0751769,78.9683723,2025-04-01,12,0,37,Low,38.5,0,1,5,5.0,0.62,0.62,0,0,8.956,38.058,13.96,77.89,38.5,4,Normal,0.088,51.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,16,Hingna MIDC Gate,21.1100984,78.9908833,2025-04-01,12,0,48,Low,39.9,3,1,5,5.0,0.8,0.8,0,0,4.531,42.589,6.81,84.7,13.3,4,Normal,0.297,40.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,17,Hingna MIDC Phase 1,21.1100984,78.9908833,2025-04-01,12,0,45,Low,38.3,2,2,5,2.5,0.75,0.38,0,0,0.0,42.589,0.0,84.7,19.15,4,Normal,-0.062,43.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,18,Hingna MIDC Phase 2,21.1100984,78.9908833,2025-04-01,12,0,57,Moderate,23.3,4,2,5,2.5,0.95,0.48,0,0,0.0,42.589,0.0,84.7,5.82,4,Normal,0.267,31.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,19,Hingna MIDC Bus Stop (Final),21.1100984,78.9908833,2025-04-01,12,0,46,Moderate,25.1,5,2,5,2.5,0.77,0.38,0,0,0.0,42.589,0.0,84.7,5.02,4,Normal,-0.193,42.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,1,Sitabuldi Bus Terminal,21.1414478,79.0824843,2025-04-01,15,0,44,Low,34.0,3,2,5,2.5,0.73,0.37,0,0,0.0,0.0,0.0,0.0,11.33,4,Normal,-0.043,44.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,2,RBI Square / Variety Square,21.146596600000002,79.08227155,2025-04-01,15,0,48,Moderate,21.5,5,1,5,5.0,0.8,0.8,0,0,0.573,0.573,1.6,1.6,4.3,4,Normal,0.091,40.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,3,Morris College T-Point,21.1517454,79.0820588,2025-04-01,15,0,38,Low,30.4,1,1,5,5.0,0.63,0.63,0,0,0.573,1.146,1.13,2.73,30.4,4,Normal,-0.208,50.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,4,Jhansi Rani Square,21.141582399999997,79.06463595,2025-04-01,15,0,46,Low,33.0,0,1,5,5.0,0.77,0.77,0,0,2.131,3.277,3.87,6.6,33.0,4,Normal,0.211,42.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,5,Dharampeth College,21.1314194,79.0472131,2025-04-01,15,0,31,Low,36.1,3,3,5,1.7,0.52,0.17,0,0,2.131,5.408,3.54,10.14,12.03,4,Normal,-0.326,57.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,6,Dharampeth,21.1409684,79.0624344,2025-04-01,15,0,35,Moderate,29.4,3,2,5,2.5,0.58,0.29,0,0,1.903,7.311,3.88,14.02,9.8,4,Normal,0.129,53.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,7,Law College Square,21.1468151,79.0618908,2025-04-01,15,0,43,Moderate,26.4,3,1,5,5.0,0.72,0.72,0,0,0.653,7.964,1.48,15.5,8.8,4,Normal,0.229,45.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,8,Ambazari Lake,21.1286919,79.0457448,2025-04-01,15,0,34,Low,38.2,3,1,5,5.0,0.57,0.57,0,0,2.62,10.584,4.12,19.62,12.73,4,Normal,-0.209,54.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,9,VNIT Main Gate,21.1260843,79.0497523,2025-04-01,15,0,31,Low,35.2,3,1,5,5.0,0.52,0.52,0,0,0.507,11.091,0.86,20.48,11.73,4,Normal,-0.088,57.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,10,Bajaj Nagar,21.1275893,79.0615901,2025-04-01,15,0,39,Moderate,25.1,7,1,5,5.0,0.65,0.65,0,0,1.239,12.33,2.96,23.44,3.59,4,Normal,0.258,49.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,11,Laxmi Nagar,21.1254686,79.0639778,2025-04-01,15,0,34,Moderate,25.2,5,2,5,2.5,0.57,0.28,0,0,0.342,12.672,0.81,24.25,5.04,4,Normal,-0.128,54.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,12,Subhash Nagar,21.1233162,79.0420532,2025-04-01,15,0,32,Moderate,26.9,3,2,5,2.5,0.53,0.27,0,0,2.287,14.959,5.1,29.35,8.97,4,Normal,-0.059,56.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,13,Wadi T-Point,21.1491394,78.9777061,2025-04-01,15,0,38,Moderate,25.9,7,3,5,1.7,0.63,0.21,0,0,7.265,22.224,16.83,46.18,3.7,4,Normal,0.188,50.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,14,Hingna T-Point,21.1230151,79.0378219,2025-04-01,15,0,37,Moderate,22.8,4,1,5,5.0,0.62,0.62,0,0,6.878,29.102,18.1,64.28,5.7,4,Normal,-0.026,51.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,15,Hingna Village,21.0751769,78.9683723,2025-04-01,15,0,37,Moderate,25.3,4,1,5,5.0,0.62,0.62,0,0,8.956,38.058,21.24,85.52,6.32,4,Normal,0.0,51.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,16,Hingna MIDC Gate,21.1100984,78.9908833,2025-04-01,15,0,57,Moderate,26.9,6,2,5,2.5,0.95,0.48,0,0,4.531,42.589,10.11,95.63,4.48,4,Normal,0.541,31.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,17,Hingna MIDC Phase 1,21.1100984,78.9908833,2025-04-01,15,0,46,Low,39.8,0,2,5,2.5,0.77,0.38,0,0,0.0,42.589,0.0,95.63,39.8,4,Normal,-0.193,42.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,18,Hingna MIDC Phase 2,21.1100984,78.9908833,2025-04-01,15,0,43,Moderate,27.5,7,2,5,2.5,0.72,0.36,0,0,0.0,42.589,0.0,95.63,3.93,4,Normal,-0.065,45.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,19,Hingna MIDC Bus Stop (Final),21.1100984,78.9908833,2025-04-01,15,0,48,Moderate,20.3,5,2,5,2.5,0.8,0.4,0,0,0.0,42.589,0.0,95.63,4.06,4,Normal,0.116,40.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,1,Sitabuldi Bus Terminal,21.1414478,79.0824843,2025-04-01,18,1,72,High,17.4,16,3,10,3.3,1.2,0.4,1,0,0.0,0.0,0.0,0.0,1.09,4,Add Bus,0.5,16.0,Bus Full,Same Route
R1,Sitabuldi to Hingna MIDC,2,RBI Square / Variety Square,21.146596600000002,79.08227155,2025-04-01,18,1,71,Very High,13.2,21,3,10,3.3,1.18,0.39,1,0,0.573,0.573,2.6,2.6,0.63,4,Add Bus,-0.014,17.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,3,Morris College T-Point,21.1517454,79.0820588,2025-04-01,18,1,54,High,17.0,13,3,10,3.3,0.9,0.3,0,0,0.573,1.146,2.02,4.62,1.31,4,Normal,-0.239,34.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,4,Jhansi Rani Square,21.141582399999997,79.06463595,2025-04-01,18,1,73,High,17.3,14,2,10,5.0,1.2,0.61,1,0,2.131,3.277,7.39,12.01,1.24,4,Add Bus,0.352,15.0,Bus Full,Same Route
R1,Sitabuldi to Hingna MIDC,5,Dharampeth College,21.1314194,79.0472131,2025-04-01,18,1,50,Very High,12.8,18,2,10,5.0,0.83,0.42,0,0,2.131,5.408,9.99,22.0,0.71,4,Reroute,-0.315,38.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,6,Dharampeth,21.1409684,79.0624344,2025-04-01,18,1,62,Very High,9.8,28,2,10,5.0,1.03,0.52,1,0,1.903,7.311,11.65,33.65,0.35,4,Add Bus,0.24,26.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,7,Law College Square,21.1468151,79.0618908,2025-04-01,18,1,51,Very High,9.5,29,3,10,3.3,0.85,0.28,0,0,0.653,7.964,4.12,37.77,0.33,4,Reroute,-0.177,37.0,Almost Full,Use R3
